recipient_id,recipient_name,category,subcategory,book_title,publisher,award_status,year,location,publication,show,company,restaurant_name,project
25771,Florence's Restaurant,Restaurant & Chef,America's Classics,,,Winner,2022,"Oklahoma City, Oklahoma",,,,,
25768,Casa Vega,Restaurant & Chef,America's Classics,,,Winner,2022,"Sherman Oaks, California",,,,,
25769,The Busy Bee Café,Restaurant & Chef,America's Classics,,,Winner,2022,"Atlanta, Georgia",,,,,
25770,Wo Hop,Restaurant & Chef,America's Classics,,,Winner,2022,"New York, New York",,,,,
25772,Solly's Grille,Restaurant & Chef,America's Classics,,,Winner,2022,"Milwaukee, Wisconsin",,,,,
25773,Corinne's Place,Restaurant & Chef,America's Classics,,,Winner,2022,"Camden, New Jersey",,,,,
25427,Steve McHugh,Restaurant & Chef,Best Chefs,,,Nominee,2022,"San Antonio, Texas",,,,Cured,
25489,Gregory Collier,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Charlotte, North Carolina",,,,Leah & Louise,
25513,"Chutatip ""Nok"" Suntaranon",Restaurant & Chef,Best Chefs,,,Nominee,2022,"Philadelphia, Pennsylvania",,,,Kalaya Thai Kitchen,
25797,Karen Shields,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Chicago, Illinois",,,,Smyth,
25425,Quy Hoang,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Bellaire, Texas",,,,Blood Bros. BBQ,
25426,Tony Nguyen,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Houston, Texas",,,,Xin Chào,
25428,Tiffany Derry,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Farmers Branch, Texas",,,,Roots Southern Table,
25581,Damian Sansonetti,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Portland, Maine",,,,Chaval,
25583,Vien Dobui,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Portland, Maine",,,,CÔNG TỬ BỘT,
25838,Amanda Cohen,Restaurant & Chef,Best Chefs,,,Nominee,2022,"New York, New York",,,,Dirt Candy,
25509,Angel Barreto,Restaurant & Chef,Best Chefs,,,Nominee,2022,Washington,,,,Anju,
25488,CHEETIE KUMAR,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Raleigh, North Carolina",,,,Garland,
25745,Martin Rios,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Santa Fe, New Mexico",,,,Restaurant Martín,
25423,Christine Ha,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Houston, Texas",,,,Xin Chào,
25820,James Syhabout,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Oakland, California",,,,Commis,
25817,John B. Shields,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Chicago, Illinois",,,,Smyth,
25819,Bryant Ng,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Santa Monica, California",,,,Cassia,
25798,Noah Sandoval,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Chicago, Illinois",,,,Oriole,
25821,Pim Techamuanvivit,Restaurant & Chef,Best Chefs,,,Nominee,2022,"San Francisco, California",,,,Nari,
25822,Sarintip Jazz Singsanong,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Los Angeles, California",,,,Jitlada,
25839,Ayesha Nurdjaja,Restaurant & Chef,Best Chefs,,,Nominee,2022,"New York, New York",,,,Shuka,
25841,Junghyun Park,Restaurant & Chef,Best Chefs,,,Nominee,2022,"New York, New York",,,,Atomix,
